TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRanky	TaxonomicStatus	ScientificNameAuthorship
leptogastrinae:tid:127	http://leptogastrinae.lifedesks.org/pages/127	Leptogastridae	leptogastrinae:tid:42		synonym	
leptogastrinae:tid:42	http://leptogastrinae.lifedesks.org/pages/42	Leptogastrinae		subfamily		
leptogastrinae:tid:2045	http://leptogastrinae.lifedesks.org/pages/2045	Leptogastrini	leptogastrinae:tid:42	tribe		
leptogastrinae:tid:2044	http://leptogastrinae.lifedesks.org/pages/2044	Acronychini	leptogastrinae:tid:42	tribe		
leptogastrinae:tid:2857	http://leptogastrinae.lifedesks.org/pages/2857	Apachekolos flaventis	leptogastrinae:tid:43	species		Scarbrough and Perez-Gelabert, 2005
leptogastrinae:tid:2868	http://leptogastrinae.lifedesks.org/pages/2868	Leptogaster longipes	leptogastrinae:tid:2855		homonym	Johnson, 1894
leptogastrinae:tid:2869	http://leptogastrinae.lifedesks.org/pages/2869	Apachekolos acus	leptogastrinae:tid:2855		synonym	Martin, 1957
leptogastrinae:tid:2855	http://leptogastrinae.lifedesks.org/pages/2855	Apachekolos clavipes	leptogastrinae:tid:43	species		(Johnson, 1897)
leptogastrinae:tid:2858	http://leptogastrinae.lifedesks.org/pages/2858	Apachekolos invasus	leptogastrinae:tid:43	species		Scarbrough and Perez-Gelabert, 2005
leptogastrinae:tid:44	http://leptogastrinae.lifedesks.org/pages/44	Apachekolos confusio	leptogastrinae:tid:43	species		Martin, 1957
leptogastrinae:tid:2861	http://leptogastrinae.lifedesks.org/pages/2861	Apachekolos vultus	leptogastrinae:tid:43			Scarbrough and Perez-Gelabert, 2005
leptogastrinae:tid:2860	http://leptogastrinae.lifedesks.org/pages/2860	Apachekolos volubilis	leptogastrinae:tid:43	species		Scarbrough and Perez-Gelabert, 2005
leptogastrinae:tid:2859	http://leptogastrinae.lifedesks.org/pages/2859	Apachekolos magnus	leptogastrinae:tid:43	species		Scarbrough and Perez-Gelabert, 2005
leptogastrinae:tid:51	http://leptogastrinae.lifedesks.org/pages/51	Leptogaster weslacensis	leptogastrinae:tid:50		synonym	Bromley, 1951
leptogastrinae:tid:50	http://leptogastrinae.lifedesks.org/pages/50	Apachekolos weslacensis	leptogastrinae:tid:43	species		(Bromley, 1951)
leptogastrinae:tid:47	http://leptogastrinae.lifedesks.org/pages/47	Leptogaster scapularis	leptogastrinae:tid:46		synonym	Bigot, 1878
leptogastrinae:tid:46	http://leptogastrinae.lifedesks.org/pages/46	Apachekolos scapularis	leptogastrinae:tid:43	species		(Bigot, 1878)
leptogastrinae:tid:49	http://leptogastrinae.lifedesks.org/pages/49	Leptogaster tenuipes	leptogastrinae:tid:48		synonym	Loew, 1862
leptogastrinae:tid:48	http://leptogastrinae.lifedesks.org/pages/48	Apachekolos tenuipes	leptogastrinae:tid:43	species		(Loew, 1862)
leptogastrinae:tid:45	http://leptogastrinae.lifedesks.org/pages/45	Apachekolos crinita	leptogastrinae:tid:43	species		Martin, 1957
leptogastrinae:tid:2900	http://leptogastrinae.lifedesks.org/pages/2900	Beameromyia graminicola	leptogastrinae:tid:52	species		Farr, 1963
leptogastrinae:tid:2896	http://leptogastrinae.lifedesks.org/pages/2896	Beameromyia dicrana	leptogastrinae:tid:52	species		Scarbrough, 1997
leptogastrinae:tid:2920	http://leptogastrinae.lifedesks.org/pages/2920	Beameromyia incisuralis	leptogastrinae:tid:52	species		Scarbrough & Page, 2005
leptogastrinae:tid:2919	http://leptogastrinae.lifedesks.org/pages/2919	Beameromyia multicincta	leptogastrinae:tid:52	species		(Walker, 1851)
leptogastrinae:tid:72	http://leptogastrinae.lifedesks.org/pages/72	Beameromyia vulgaris	leptogastrinae:tid:52	species		Martin, 1957
leptogastrinae:tid:2918	http://leptogastrinae.lifedesks.org/pages/2918	Beameromyia micropygialis	leptogastrinae:tid:52	species		(Williston, 1901)
leptogastrinae:tid:2916	http://leptogastrinae.lifedesks.org/pages/2916	Beameromyia virginensis	leptogastrinae:tid:52	species		Scarbrough, 1997
leptogastrinae:tid:2906	http://leptogastrinae.lifedesks.org/pages/2906	Beameromyia melana	leptogastrinae:tid:52	species		Scarbrough, 1997
leptogastrinae:tid:2914	http://leptogastrinae.lifedesks.org/pages/2914	Beameromyia quaterna	leptogastrinae:tid:52	species		Scarbrough, 1997
leptogastrinae:tid:2901	http://leptogastrinae.lifedesks.org/pages/2901	Beameromyia insulara	leptogastrinae:tid:52	species		Martin, 1957
leptogastrinae:tid:2898	http://leptogastrinae.lifedesks.org/pages/2898	Beameromyia dorsalis	leptogastrinae:tid:52	species		(Williston, 1901)
leptogastrinae:tid:67	http://leptogastrinae.lifedesks.org/pages/67	Leptogaster pictipes	leptogastrinae:tid:66		synonym	Loew, 1862
leptogastrinae:tid:68	http://leptogastrinae.lifedesks.org/pages/68	Leptogaster varipes	leptogastrinae:tid:66		synonym	Loew, 1862
leptogastrinae:tid:66	http://leptogastrinae.lifedesks.org/pages/66	Beameromyia pictipes	leptogastrinae:tid:52	species		(Loew, 1862)
leptogastrinae:tid:55	http://leptogastrinae.lifedesks.org/pages/55	Beameromyia chrysops	leptogastrinae:tid:52	species		Martin, 1957
leptogastrinae:tid:56	http://leptogastrinae.lifedesks.org/pages/56	Beameromyia disfascia	leptogastrinae:tid:52	species		Martin, 1957
leptogastrinae:tid:58	http://leptogastrinae.lifedesks.org/pages/58	Leptogaster floridensis	leptogastrinae:tid:57		synonym	Johnson, 1913
leptogastrinae:tid:57	http://leptogastrinae.lifedesks.org/pages/57	Beameromyia floridensis	leptogastrinae:tid:52	species		(Johnson, 1913)
